"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C4,C7,C9,C10,C12,C13";"C_0805_OEM";7;"100n";;;
2;"C2";"C_0805_OEM";1;"6.8n";;;
3;"C3";"C_0805_OEM";1;"120n";;;
4;"C5,C6";"C_0805_OEM";2;"22p";;;
5;"C8";"C_0805_OEM";1;"10u";;;
6;"R1,R2,R3,R4";"R_0805_OEM";4;"10k";;;
7;"U2";"MPL3115A2";1;"MPL3115A2";;;
8;"U3";"Teensy3-6";1;"Teensy3.6";;;
9;"Y1";"FC-135_3.2x1.5mm";1;"Crystal_32kHz768";;;
10;"U1";"BNO055";1;"BNO055";;;
11;"BOOT1,CAP1,CAP2,GND1,GND2,nReset1,OSCin1,OSCout1,VDD1,VDD2";"Test-Point-Pin_Drill2.79mm";10;"TestPoint";;;
12;"C11";"C_0805_OEM";1;"1u";;;
13;"U4";"bmi088";1;"BMI088";;;
14;"U5";"ADXL345";1;"ADXL345BCCZ";;;
15;"J2";"RFM9X_header";1;"RFM9X_header";;;
16;"J1";"PinSocket_1x09_P2.54mm_Vertical";1;"Conn_01x09_Female";;;
17;"D1,D2,D3";"D_0805_OEM";3;"D";;;
18;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Male";;;
19;"BMS_CONN1,BMS_CONN2";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04_Male";;;
20;"Q1";"TO-220-3_Horizontal_TabDown";1;"Q_PNP_BCE";;;
21;"R5";"R_0805_OEM";1;"1K";;;
22;"G***";"OLIN_O";1;"";;;
